date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,tags,notes,spread_id
2025-02-13T13:09:48+0800,600550,buy,CNY,保变电气,stock,8.120,1700,0,0,,,600550
2025-02-13T09:59:16+0800,603099,buy,CNY,长白山,stock,35.470,600,0,0,,,603099
2025-02-13T09:48:38+0800,588200,sell,CNY,科创芯片ETF,ETF,1.543,10700,0,0,,,588200
2025-02-13T09:47:56+0800,002400,sell,CNY,省广集团,stock,9.540,2000,0,0,,,002400
2025-02-07T14:53:48+0800,588200,buy,CNY,科创芯片ETF,ETF,1.519,10700,0,0,,,588200
2025-02-07T13:50:09+0800,002400,buy,CNY,省广集团,stock,8.850,2000,0,0,,,002400
2025-02-07T13:32:52+0800,002400,sell,CNY,省广集团,stock,8.900,2000,0,0,,,002400
2025-02-07T13:31:51+0800,588200,sell,CNY,科创芯片ETF,ETF,1.538,10000,0,0,,,588200
2025-02-07T13:08:02+0800,002423,buy,CNY,中粮资本,stock,13.780,1600,0,0,,,002423
2025-02-07T13:06:02+0800,001309,sell,CNY,德明利,stock,107.000,200,0,0,,,001309
2025-02-06T11:16:04+0800,002155,buy,CNY,湖南黄金,stock,17.820,1700,0,0,,,002155
2025-02-06T11:04:14+0800,588200,sell,CNY,科创芯片ETF,ETF,1.511,20000,0,0,,,588200
2025-02-06T10:57:05+0800,002155,buy,CNY,湖南黄金,stock,17.860,1800,0,0,,,002155
2025-02-06T10:37:57+0800,002400,buy,CNY,省广集团,stock,8.520,2000,0,0,,,002400
2025-02-06T10:34:26+0800,001309,sell,CNY,德明利,stock,106.000,430,0,0,,,001309
2025-02-06T09:48:23+0800,000905,sell,CNY,厦门港务,stock,6.870,600,0,0,,,000905
2025-01-21T14:06:57+0800,002155,buy,CNY,湖南黄金,stock,17.100,900,0,0,,,002155
2025-01-21T13:03:13+0800,002423,sell,CNY,中粮资本,stock,12.910,1200,0,0,,,002423
2025-01-20T09:53:15+0800,002423,buy,CNY,中粮资本,stock,13.410,1200,0,0,,,002423
2025-01-20T09:37:06+0800,001309,buy,CNY,德明利,stock,95.820,230,0,0,,,001309
2025-01-20T09:35:04+0800,001309,sell,CNY,德明利,stock,96.020,400,0,0,,,001309
2025-01-17T14:21:26+0800,000905,buy,CNY,厦门港务,stock,7.470,600,0,0,,,000905
2025-01-17T14:21:04+0800,601919,sell,CNY,中远海控,stock,14.340,100,0,0,,,601919
2025-01-16T13:24:23+0800,001309,buy,CNY,德明利,stock,88.877,400,0,0,,,001309
2025-01-16T13:04:00+0800,001309,sell,CNY,德明利,stock,88.710,400,0,0,,,001309
2025-01-16T09:33:42+0800,001309,buy,CNY,德明利,stock,93.030,400,0,0,,,001309
2025-01-15T14:46:56+0800,000400,sell,CNY,许继电气,stock,25.080,1600,0,0,,,000400
2025-01-03T09:31:25+0800,002155,buy,CNY,湖南黄金,stock,16.660,2200,0,0,,,002155
2025-01-02T14:09:20+0800,002423,sell,CNY,中粮资本,stock,12.950,2800,0,0,,,002423
2025-01-02T13:54:02+0800,000400,buy,CNY,许继电气,stock,25.900,800,0,0,,,000400
2025-01-02T09:59:44+0800,000400,sell,CNY,许继电气,stock,26.440,800,0,0,,,000400
2024-12-31T14:10:07+0800,601919,buy,CNY,中远海控,stock,15.590,100,0,0,,,601919
2024-12-31T14:03:56+0800,002423,buy,CNY,中粮资本,stock,13.550,2800,0,0,,,002423
2024-12-31T13:58:25+0800,588200,buy,CNY,科创芯片ETF,ETF,1.480,10000,0,0,,,588200
2024-12-31T10:27:54+0800,000400,buy,CNY,许继电气,stock,27.670,800,0,0,,,000400
2024-12-31T10:20:51+0800,002423,sell,CNY,中粮资本,stock,13.690,700,0,0,,,002423
2024-12-31T09:51:33+0800,001309,buy,CNY,德明利,stock,88.880,200,0,0,,,001309
2024-12-31T09:48:59+0800,588200,buy,CNY,科创芯片ETF,ETF,1.503,10000,0,0,,,588200
2024-12-30T13:07:37+0800,002155,sell,CNY,湖南黄金,stock,16.080,3400,0,0,,,002155
2024-12-30T09:36:00+0800,002902,sell,CNY,铭普光磁,stock,23.980,1900,0,0,,,002902
2024-12-27T13:20:18+0800,002423,buy,CNY,中粮资本,stock,14.000,700,0,0,,,002423
2024-12-27T13:01:06+0800,002902,buy,CNY,铭普光磁,stock,24.900,1900,0,0,,,002902
2024-12-27T11:15:19+0800,002155,sell,CNY,湖南黄金,stock,16.530,3400,0,0,,,002155
2024-12-27T09:36:43+0800,002155,buy,CNY,湖南黄金,stock,16.350,3400,0,0,,,002155
