成交时间	证券代码	业务名称	证券名称	成交数量	成交均价	成交金额	合同编号	成交日期	真实操作	
13:09:48	600550	证券买入	保变电气	1700	8.120	13804.000	NS664887	20250213	0	
09:59:16	603099	证券买入	长白山	600	35.470	21282.000	NS663231	20250213	0	
09:48:38	588200	证券卖出	科创芯片ETF	10700	1.543	16510.100	NS662857	20250213	0	
09:47:56	002400	证券卖出	省广集团	2000	9.540	19080.000	NS911474	20250213	0	
14:53:48	588200	证券买入	科创芯片ETF	10700	1.519	16253.300	NS647444	20250207	0	
13:50:09	002400	证券买入	省广集团	2000	8.850	17700.000	NS887981	20250207	0	
13:32:52	002400	证券卖出	省广集团	2000	8.900	17800.000	NS887961	20250207	0	
13:31:51	588200	证券卖出	科创芯片ETF	10000	1.538	15380.000	NS646044	20250207	0	
13:08:02	002423	证券买入	中粮资本	1600	13.780	22048.000	NS887444	20250207	0	
13:06:02	001309	证券卖出	德明利	200	107.000	21400.000	NS887399	20250207	0	
11:16:04	002155	证券买入	湖南黄金	1700	17.820	30294.000	NS880805	20250206	0	
11:04:14	588200	证券卖出	科创芯片ETF	20000	1.511	30220.000	NS641000	20250206	0	
10:57:05	002155	证券买入	湖南黄金	1800	17.860	32148.000	NS880461	20250206	0	
10:37:57	002400	证券买入	省广集团	2000	8.520	17040.000	NS880045	20250206	0	
10:34:26	001309	证券卖出	德明利	430	106.000	45580.000	NS878137	20250206	0	
09:48:23	000905	证券卖出	厦门港务	600	6.870	4122.000	NS878798	20250206	0	
14:06:57	002155	证券买入	湖南黄金	900	17.100	15390.000	NS850963	20250121	0	
13:03:13	002423	证券卖出	中粮资本	1200	12.910	15492.000	NS850111	20250121	0	
09:53:15	002423	证券买入	中粮资本	1200	13.410	16092.000	NS842287	20250120	0	
09:37:06	001309	证券买入	德明利	230	95.820	22038.600	NS841566	20250120	0	
09:35:04	001309	证券卖出	德明利	400	96.020	38408.000	NS841426	20250120	0	
14:21:26	000905	证券买入	厦门港务	600	7.470	4482.000	NS839597	20250117	0	
14:21:04	601919	证券卖出	中远海控	100	14.340	1434.000	NS612284	20250117	0	
13:24:23	001309	证券买入	德明利	400	88.877	35551.000	NS833214	20250116	0	
13:04:00	001309	证券卖出	德明利	400	88.710	35484.000	NS832830	20250116	0	
09:33:42	001309	证券买入	德明利	400	93.030	37212.000	NS829314	20250116	0	
14:46:56	000400	证券卖出	许继电气	1600	25.080	40128.000	NS828044	20250115	0	
21:39:34	000400	红股派息	许继电气	0	0.000	132.800		20250109	2	
09:31:25	002155	证券买入	湖南黄金	2200	16.660	36652.000	NS784946	20250103	0	
14:09:20	002423	证券卖出	中粮资本	2800	12.950	36260.000	NS783813	20250102	0	
13:54:02	000400	证券买入	许继电气	800	25.900	20720.000	NS783617	20250102	0	
09:59:44	000400	证券卖出	许继电气	800	26.440	21152.000	NS781724	20250102	0	
14:10:07	601919	证券买入	中远海控	100	15.590	1559.000	NS568823	20241231	0	
14:03:56	002423	证券买入	中粮资本	2800	13.550	37940.000	NS779690	20241231	0	
